,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak
0,Arizona_Friday 08/17/12,Arizona,2012,Friday 08/17/12,Oakland,31-27,Pre-Week 2,-4.5,0,4,1,-0.5,Arizona,Oakland,0,0
1,Arizona_Friday 08/20/99,Arizona,1999,Friday 08/20/99,Tennessee,27-17,Pre-Week 2,-3.0,1,10,1,7.0,Arizona,Tennessee,0,1
2,Arizona_Friday 08/22/03,Chicago,2003,Friday 08/22/03,@ Arizona,17-27,Pre-Week 3,-1.0,0,-10,0,-11.0,Arizona,Chicago,2,1
3,Arizona_Friday 08/28/09,Arizona,2009,Friday 08/28/09,Green Bay,37-44,Pre-Week 3,-3.5,0,-7,0,-10.5,Arizona,Green Bay,2,0
4,Arizona_Friday 08/29/08,Arizona,2008,Friday 08/29/08,Denver,14-28,Pre-Week 4,-3.0,0,-14,0,-17.0,Arizona,Denver,0,3
5,Arizona_Friday 08/31/01,Arizona,2001,Friday 08/31/01,San Diego,16-3,Pre-Week 4,-3.0,1,13,1,10.0,Arizona,San Diego,0,2
6,Arizona_Friday 09/02/05,Arizona,2005,Friday 09/02/05,Denver,21-30,Pre-Week 4,-4.5,0,-9,0,-13.5,Arizona,Denver,1,5
7,Arizona_Friday 09/03/99,Arizona,1999,Friday 09/03/99,Oakland,7-43,Pre-Week 4,-2.5,0,-36,0,-38.5,Arizona,Oakland,0,0
8,Arizona_Monday 09/08/14,Arizona,2014,Monday 09/08/14,San Diego,18-17,Week 1,-3.0,0,1,1,-2.0,Arizona,San Diego,0,3
9,Arizona_Monday 09/27/99,San Francisco,1999,Monday 09/27/99,@ Arizona,24-10,Week 3,-2.0,1,14,1,12.0,Arizona,San Francisco,0,0
10,Arizona_Monday 10/16/06,Chicago,2006,Monday 10/16/06,@ Arizona,24-23,Week 6,-12.5,0,1,1,-11.5,Arizona,Chicago,0,0
11,Arizona_Monday 10/29/12,San Francisco,2012,Monday 10/29/12,@ Arizona,24-3,Week 8,-7.0,1,21,1,14.0,Arizona,San Francisco,4,0
12,Arizona_Monday 11/10/08,Arizona,2008,Monday 11/10/08,San Francisco,29-24,Week 10,-9.5,0,5,1,-4.5,Arizona,San Francisco,0,5
13,Arizona_Monday 11/29/10,San Francisco,2010,Monday 11/29/10,@ Arizona,27-6,Week 12,-1.0,1,21,1,20.0,Arizona,San Francisco,1,1
14,Arizona_Saturday 01/03/09,Arizona,2008,Saturday 01/03/09,Atlanta,30-24,Wildcard,-1.5,1,6,1,4.5,Arizona,Atlanta,0,0
15,Arizona_Saturday 08/05/00,Denver,2000,Saturday 08/05/00,@ Arizona,31-17,Pre-Week 1,-1.5,1,14,1,12.5,Arizona,Denver,0,0
16,Arizona_Saturday 08/09/03,Dallas,2003,Saturday 08/09/03,@ Arizona,0-13,Pre-Week 1,-3.0,0,-13,0,-16.0,Arizona,Dallas,0,0
17,Arizona_Saturday 08/09/14,Houston,2014,Saturday 08/09/14,@ Arizona,0-32,Pre-Week 1,-1.5,0,-32,0,-33.5,Arizona,Houston,1,1
18,Arizona_Saturday 08/11/01,Oakland,2001,Saturday 08/11/01,@ Arizona,10-7,Pre-Week 1,-5.5,0,3,1,-2.5,Arizona,Oakland,1,3
19,Arizona_Saturday 08/12/00,Arizona,2000,Saturday 08/12/00,Seattle,21-3,Pre-Week 2,-1.0,1,18,1,17.0,Arizona,Seattle,0,1
20,Arizona_Saturday 08/12/06,Arizona,2006,Saturday 08/12/06,Pittsburgh,21-13,Pre-Week 1,-4.5,1,8,1,3.5,Arizona,Pittsburgh,1,0
21,Arizona_Saturday 08/13/05,Arizona,2005,Saturday 08/13/05,Dallas,13-11,Pre-Week 1,-1.0,1,2,1,1.0,Arizona,Dallas,2,1
22,Arizona_Saturday 08/14/10,Houston,2010,Saturday 08/14/10,@ Arizona,16-19,Pre-Week 1,-2.5,0,-3,0,-5.5,Arizona,Houston,1,0
23,Arizona_Saturday 08/17/02,Arizona,2002,Saturday 08/17/02,Green Bay,21-29,Pre-Week 2,-3.5,0,-8,0,-11.5,Arizona,Green Bay,0,1
24,Arizona_Saturday 08/17/13,Arizona,2013,Saturday 08/17/13,Dallas,12-7,Pre-Week 2,-3.5,1,5,1,1.5,Arizona,Dallas,0,1
25,Arizona_Saturday 08/18/07,Arizona,2007,Saturday 08/18/07,Houston,20-33,Pre-Week 2,-3.0,0,-13,0,-16.0,Arizona,Houston,2,1
26,Arizona_Saturday 08/21/04,Arizona,2004,Saturday 08/21/04,San Diego,13-38,Pre-Week 2,-3.0,0,-25,0,-28.0,Arizona,San Diego,1,3
27,Arizona_Saturday 08/22/09,Arizona,2009,Saturday 08/22/09,San Diego,6-17,Pre-Week 2,-3.0,0,-11,0,-14.0,Arizona,San Diego,0,0
28,Arizona_Saturday 08/24/02,Denver,2002,Saturday 08/24/02,@ Arizona,19-13,Pre-Week 3,-2.0,1,6,1,4.0,Arizona,Denver,0,1
29,Arizona_Saturday 08/24/13,Arizona,2013,Saturday 08/24/13,San Diego,7-24,Pre-Week 3,-4.0,0,-17,0,-21.0,Arizona,San Diego,0,2
30,Arizona_Saturday 08/25/07,San Diego,2007,Saturday 08/25/07,@ Arizona,33-31,Pre-Week 3,-2.5,0,2,1,-0.5,Arizona,San Diego,4,1
